Time (sec.), Cycles, "value_state"
4.082161970, 408216197, -0.047868080
4.092161890, 409216189, -0.044163492
4.102161770, 410216177, -0.040457007
4.112162510, 411216251, -0.036748815
4.122162660, 412216266, -0.033039112
4.132162520, 413216252, -0.029328091
4.142162930, 414216293, -0.025615945
4.152160720, 415216072, -0.021902867
4.162162310, 416216231, -0.018189050
4.172161340, 417216134, -0.014474691
4.182162450, 418216245, -0.010759982
4.192161850, 419216185, -0.007045118
4.202171450, 420217145, -0.003330292
4.212173740, 421217374, 0.000384302
4.222172690, 422217269, 0.004098470
4.232171980, 423217198, 0.007812019
4.242173450, 424217345, 0.011524756
4.252163120, 425216312, 0.015236487
4.262162940, 426216294, 0.018947020
4.272162700, 427216270, 0.022656163
4.282163580, 428216358, 0.026363725
4.292161940, 429216194, 0.030069513
4.302162690, 430216269, 0.033773340
4.312162370, 431216237, 0.037475012
4.322163710, 432216371, 0.041174345
4.332162880, 433216288, 0.044871144
4.342162490, 434216249, 0.048565228
4.352161620, 435216162, 0.052256405
4.362161030, 436216103, 0.055944491
4.372165150, 437216515, 0.059629302
4.382165730, 438216573, 0.063310653
4.392166850, 439216685, 0.066988356
4.402167610, 440216761, 0.070662238
4.412167020, 441216702, 0.074332111
4.422168130, 442216813, 0.077997804
4.432167590, 443216759, 0.081659131
4.442166040, 444216604, 0.085315913
4.452167070, 445216707, 0.088967979
4.462167920, 446216792, 0.092615157
4.472166290, 447216629, 0.096257269
4.482166720, 448216672, 0.099894144
4.492167590, 449216759, 0.103525609
4.502165720, 450216572, 0.107151501
4.512167990, 451216799, 0.110771649
4.522166290, 452216629, 0.114385888
4.532161530, 453216153, 0.117994048
4.542162730, 454216273, 0.121595971
4.552160520, 455216052, 0.125191495
4.562162680, 456216268, 0.128780469
4.572162400, 457216240, 0.132362723
4.582163290, 458216329, 0.135938108
4.592162200, 459216220, 0.139506459
4.602162280, 460216228, 0.143067643
4.612161920, 461216192, 0.146621495
4.622162120, 462216212, 0.150167868
4.632163840, 463216384, 0.153706610
4.642162240, 464216224, 0.157237589
4.652171840, 465217184, 0.160760656
4.662171600, 466217160, 0.164275661
4.672171860, 467217186, 0.167782471
4.682170690, 468217069, 0.171280950
4.692173270, 469217327, 0.174770966
4.702162120, 470216212, 0.178252384
4.712163550, 471216355, 0.181725070
4.722162400, 472216240, 0.185188890
4.732163950, 473216395, 0.188643724
4.742162760, 474216276, 0.192089438
4.752162980, 475216298, 0.195525914
4.762162000, 476216200, 0.198953032
4.772162870, 477216287, 0.202370673
4.782162150, 478216215, 0.205778718
4.792162060, 479216206, 0.209177062
4.802161970, 480216197, 0.212565586
4.812160830, 481216083, 0.215944171
4.822161950, 482216195, 0.219312713
4.832168070, 483216807, 0.222671106
4.842166550, 484216655, 0.226019248
4.852166270, 485216627, 0.229357034
4.862167770, 486216777, 0.232684374
4.872167380, 487216738, 0.236001164
4.882168490, 488216849, 0.239307299
4.892168110, 489216811, 0.242602691
4.902166330, 490216633, 0.245887250
4.912167010, 491216701, 0.249160886
4.922167280, 492216728, 0.252423495
4.932166280, 493216628, 0.255675018
4.942167920, 494216792, 0.258915365
4.952167050, 495216705, 0.262144446
4.962166920, 496216692, 0.265362203
4.972166150, 497216615, 0.268568516
4.982166390, 498216639, 0.271763355
4.992162020, 499216202, 0.274946630
5.002162230, 500216223, 0.278118253
5.012162250, 501216225, 0.281278193
5.022162070, 502216207, 0.284426361
5.032162860, 503216286, 0.287562668
5.042162430, 504216243, 0.290687084
5.052162350, 505216235, 0.293799549
5.062162500, 506216250, 0.296899974
5.072161900, 507216190, 0.299988329
5.082163080, 508216308, 0.303064555
5.092162000, 509216200, 0.306128591
5.102161720, 510216172, 0.309180379
5.112170320, 511217032, 0.312219888
5.122173880, 512217388, 0.315247059
5.132172500, 513217250, 0.318261862
5.142171390, 514217139, 0.321264237
5.152172900, 515217290, 0.324254125
5.162172250, 516217225, 0.327231526
5.172164140, 517216414, 0.330196381
5.182162490, 518216249, 0.333148658
5.192163180, 519216318, 0.336088300
5.202161160, 520216116, 0.339015305
5.212162620, 521216262, 0.341929615
5.222163020, 522216302, 0.344831198
5.232162260, 523216226, 0.347720057
5.242161820, 524216182, 0.350596130
5.252162160, 525216216, 0.353459418
5.262161130, 526216113, 0.356309891
5.272162110, 527216211, 0.359147519
5.282162750, 528216275, 0.361972302
5.292160340, 529216034, 0.364784181
5.302164050, 530216405, 0.367583185
5.312165010, 531216501, 0.370369256
5.322166120, 532216612, 0.373142421
5.332167980, 533216798, 0.375902623
5.342167020, 534216702, 0.378649890
5.352167280, 535216728, 0.381384194
5.362167760, 536216776, 0.384105504
5.372166800, 537216680, 0.386813849
5.382168060, 538216806, 0.389509201
5.392168060, 539216806, 0.392191559
5.402167120, 540216712, 0.394860923
5.412166100, 541216610, 0.397517294
5.422166450, 542216645, 0.400160640
5.432166310, 543216631, 0.402790993
5.442166940, 544216694, 0.405408353
5.452165140, 545216514, 0.408012718
5.462161760, 546216176, 0.410604089
5.472162260, 547216226, 0.413182467
5.482161060, 548216106, 0.415747851
5.492162310, 549216231, 0.418300271
5.502162520, 550216252, 0.420839727
5.512164100, 551216410, 0.423366219
5.522162210, 552216221, 0.425879747
5.532162670, 553216267, 0.428380340
5.542163660, 554216366, 0.430868000
5.552161900, 555216190, 0.433342755
5.562161290, 556216129, 0.435804605
5.572162310, 557216231, 0.438253552
5.582162280, 558216228, 0.440689623
5.592171070, 559217107, 0.443112850
5.602172780, 560217278, 0.445523232
5.612170880, 561217088, 0.447920769
5.622171490, 562217149, 0.450305521
5.632172370, 563217237, 0.452677488
5.642162950, 564216295, 0.455036670
5.652163540, 565216354, 0.457383126
5.662162520, 566216252, 0.459716856
5.672162090, 567216209, 0.462037891
5.682162040, 568216204, 0.464346230
5.692161220, 569216122, 0.466641933
5.702162820, 570216282, 0.468924999
5.712161830, 571216183, 0.471195459
5.722160440, 572216044, 0.473453343
5.732161490, 573216149, 0.475698650
5.742161060, 574216106, 0.477931440
5.752162590, 575216259, 0.480151743
5.762162720, 576216272, 0.482359558
5.772166380, 577216638, 0.484554946
5.782165870, 578216587, 0.486737907
5.792167260, 579216726, 0.488908499
5.802168060, 580216806, 0.491066724
5.812168410, 581216841, 0.493212640
5.822166830, 582216683, 0.495346248
5.832167760, 583216776, 0.497467607
5.842168380, 584216838, 0.499576718
5.852166290, 585216629, 0.501673639
5.862169060, 586216906, 0.503758371
5.872166920, 587216692, 0.505831003
5.882167240, 588216724, 0.507891536
5.892168350, 589216835, 0.509939969
5.902169020, 590216902, 0.511976421
5.912165650, 591216565, 0.514000833
5.922167930, 592216793, 0.516013324
5.932167490, 593216749, 0.518013895
5.942162550, 594216255, 0.520002544
5.952162590, 595216259, 0.521979332
5.962162060, 596216206, 0.523944318
5.972162700, 597216270, 0.525897503
5.982164170, 598216417, 0.527838945
5.992162080, 599216208, 0.529768705
6.002161150, 600216115, 0.531686783
6.012161360, 601216136, 0.533593237
6.022162480, 602216248, 0.535488069
6.032161530, 603216153, 0.537371337
6.042160710, 604216071, 0.539243102
6.052162910, 605216291, 0.541103363
6.062161840, 606216184, 0.542952180
6.072170620, 607217062, 0.544789612
6.082171730, 608217173, 0.546615660
6.092172140, 609217214, 0.548430383
6.102170410, 610217041, 0.550233781
6.112171810, 611217181, 0.552025914
6.122171290, 612217129, 0.553806841
6.132162210, 613216221, 0.555576622
6.142162250, 614216225, 0.557335258
6.152160420, 615216042, 0.559082806
6.162161720, 616216172, 0.560819268
6.172161080, 617216108, 0.562544703
6.182162240, 618216224, 0.564259171
6.192162860, 619216286, 0.565962732
6.202161200, 620216120, 0.567655385
6.212161580, 621216158, 0.569337189
6.222161410, 622216141, 0.571008146
6.232161860, 623216186, 0.572668314
6.242162160, 624216216, 0.574317753
6.252160320, 625216032, 0.575956523
6.262165960, 626216596, 0.577584624
6.272165490, 627216549, 0.579202116
6.282167040, 628216704, 0.580808997
6.292168080, 629216808, 0.582405329
6.302167760, 630216776, 0.583991170
6.312166780, 631216678, 0.585566580
6.322167430, 632216743, 0.587131560
6.332168440, 633216844, 0.588686168
6.342165620, 634216562, 0.590230405
6.352166760, 635216676, 0.591764390
6.362167060, 636216706, 0.593288124
6.372166480, 637216648, 0.594801605
6.382168040, 638216804, 0.596304893
6.392165620, 639216562, 0.597798049
6.402165340, 640216534, 0.599281132
6.412166520, 641216652, 0.600754142
6.422167670, 642216767, 0.602217138
6.432161270, 643216127, 0.603670180
6.442161970, 644216197, 0.605113268
6.452161500, 645216150, 0.606546462
6.462160910, 646216091, 0.607969820
6.472163350, 647216335, 0.609383345
6.482162080, 648216208, 0.610787094
6.492161500, 649216150, 0.612181127
6.502161940, 650216194, 0.613565445
6.512159990, 651215999, 0.614940107
6.522163290, 652216329, 0.616305172
6.532160830, 653216083, 0.617660642
6.542161240, 654216124, 0.619006574
6.552160900, 655216090, 0.620343029
6.562163000, 656216300, 0.621670008
6.572171800, 657217180, 0.622987568
6.582171750, 658217175, 0.624295771
6.592172230, 659217223, 0.625594616
6.602169900, 660216990, 0.626884162
6.612171730, 661217173, 0.628164411
6.622171870, 662217187, 0.629435480
6.632163030, 663216303, 0.630697310
6.642161920, 664216192, 0.631950021
6.652160950, 665216095, 0.633193612
6.662162170, 666216217, 0.634428144
6.672161940, 667216194, 0.635653675
6.682160700, 668216070, 0.636870205
6.692160640, 669216064, 0.638077796
6.702160890, 670216089, 0.639276445
6.712161110, 671216111, 0.640466213
6.722161120, 672216112, 0.641647160
6.732161000, 673216100, 0.642819285
6.742162790, 674216279, 0.643982649
6.752160790, 675216079, 0.645137310
6.762164500, 676216450, 0.646283329
